Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),Time Step
3.71310055,3.71310055,0.0,0.0,1
3.850246513,3.850246513,0.0,0.0,2
3.922147577,3.922147577,0.0,0.0,3
4.840740008,4.840740008,0.0,0.0,4
5.504500008,5.504500008,0.0,0.0,5
5.692869978,5.692869978,0.0,0.0,6
5.761754901338712,6.871955753,0.0,1.1102008516612885,7
4.7754371425182764,8.40650595,4.440892098500626e-16,3.631068807481723,8
2.469470940411366,8.899747882,8.881784197001252e-16,6.430276941588634,9
0.0,8.537873092,0.24045266135364685,8.537873092,10
0.0,8.002153308,2.2869532168603985,8.002153308,11
0.0,8.720917636,2.291721239559017,8.720917636,12
0.0,9.809463876,1.0673430882302934,9.809463876,13
3.4717853284313147,13.25056101,0.0,9.778775681568685,14
10.22875299960447,18.10402886,8.881784197001252e-16,7.87527586039553,15
10.577562433211945,15.91283643,0.0,5.3352739967880565,16
13.144380594319053,15.58021407,0.0,2.435833475680947,17
13.764981585589528,14.01421239,0.0,0.24923080441047304,18
16.10392341,16.10392341,0.0,0.0,19
19.83947905,19.83947905,0.0,0.0,20
18.51345079,18.51345079,0.0,0.0,21
17.04587092,17.04587092,0.0,0.0,22
14.06639954,14.06639954,0.0,0.0,23
8.643647509,8.643647509,0.0,0.0,24
