Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,7.186,0.0,7.186,0.0,0.0,176.30389224282132,1
0.0,9.674,0.0,9.674,0.0,0.0,167.1135922428213,2
0.0,10.884,0.0,10.884,0.0,0.0,156.77379224282132,3
0.0,11.402,0.0,11.402,0.0,0.0,145.94189224282132,4
0.0,11.327,0.0,11.327,0.0,0.0,135.18124224282133,5
0.0,10.046,0.0,10.046,0.0,0.0,125.63754224282133,6
0.0,10.393744912182884,0.0,12.063,0.0,1.6692550878171173,115.7634845762476,7
0.0,1.1293423473654869,0.0,14.997,0.0,13.867657652634513,114.6906093462504,8
9.442442431000835,0.0,0.0,22.145,0.0,31.587442431000834,123.66092965570121,9
23.516376359074435,0.0,0.0,24.25,0.0,47.766376359074435,146.00148719682193,10
34.928970448843046,0.0,0.0,24.779,0.0,59.70797044884304,179.1840091232228,11
40.263990800111515,0.0,0.0,26.121,0.0,66.38499080011151,217.43480038332876,12
39.84884165040424,0.0,0.0,28.077,0.0,67.92584165040424,255.29119995121272,13
33.13252299972121,0.0,0.0,31.198,0.0,64.33052299972121,286.76709680094785,14
28.61882213548926,0.0,0.0,26.595,0.0,55.21382213548926,313.9549778296627,15
16.50535600780597,0.0,0.0,24.584,0.0,41.08935600780597,329.6350660370784,16
0.0,0.9361173334262701,0.72129024951212,25.669,0.0,24.01159241706161,328.7457545703234,17
0.0,18.695859736548655,0.72129024951212,26.993,0.0,7.575850013939224,310.98468782060223,18
0.0,26.76770975048788,0.72129024951212,27.489,0.0,0.0,285.5553635576387,19
0.0,28.80170975048788,0.72129024951212,29.523,0.0,0.0,258.19373929467525,20
0.0,27.41270975048788,0.72129024951212,28.134,0.0,0.0,232.15166503171176,21
0.0,25.166709750487883,0.72129024951212,25.888,0.0,0.0,208.24329076874827,22
0.0,18.23570975048788,0.72129024951212,18.957,0.0,0.0,190.9193665057848,23
0.0,8.19870975048788,0.72129024951212,8.92,0.0,0.0,183.1305922428213,24
