Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
4.4653418278581025,11.861658229721451,2.810367642633383,0.7469381148468971,0.9347497535282496,1.2999847754369422,3.4098764752606545,7.204,5.403045989667823e-10,-5.403045989667823e-10,49.382649035541505,1
6.493481393832897,10.025761482434993,1.2627951070021854,0.9479483852665772,0.9872969972338738,1.3983592745987732,4.447400860070001,9.725,6.485459538524753e-10,-6.485459538524753e-10,46.02698295136951,2
7.59221178145647,9.181415406307194,0.7785534135900444,1.1359223822830722,0.989866572149882,1.3944336692958992,5.10528265245551,10.903,2.06457508167684e-10,-2.06457508167684e-10,44.51723950776132,3
8.251566042985843,8.722121260053234,0.5947501078467872,1.2046702547408419,1.0039029508866704,1.421829478533412,5.459967857851038,11.487,1.2285530689446875e-10,-1.2285530689446875e-10,44.0702120515473,4
8.552774575462761,8.38216017915021,0.6266214039180692,1.3147023773460287,1.011339386379372,1.415954694525018,5.6054008945616545,11.409,4.559514447682132e-11,-4.559514447682132e-11,44.23229572804422,5
8.690501776522794,8.251703324823797,0.6599312288811912,1.3990354003725478,1.0131674939432442,1.4060504485689571,5.4239965424390295,10.125,-4.931900123536541e-13,4.931900123536541e-13,44.649154257158266,6
8.709347909779693,8.24011784386121,0.7061830431325008,1.4878679066369531,1.0154414844824335,1.4203485428085076,5.76751951015385,12.173,0.23006358818731193,0.26389737731922913,45.09492281978083,7
8.769848052717613,8.168934392682203,0.7658090830052272,1.5529383616316175,1.0125709877211275,1.4486723172343552,6.0211175754319495,14.443,2.6945829808101345,2.376749598390354,45.66579079681446,8
8.620465763301803,8.294324465423424,0.8499422606194428,1.643585551105836,1.0140682298722556,1.5366934585045988,7.069646886501731,23.686,5.836091039292377,4.701742891513833,45.97562502979893,9
8.646087841561481,8.246148255722686,0.9337938641995609,1.6253928145907879,1.0131309517667408,1.5449960597406063,7.212678772705195,24.863,8.789084842208494,6.490774357460511,46.355567636345775,10
8.64106041000325,8.232388525589565,1.0369863061501179,1.6337563864436533,1.0135688258067643,1.5514869630623387,7.315702770905659,25.781,10.823397831912224,7.617811546998645,46.74380592653878,11
8.642691920920592,8.20602708450921,1.1479338548229487,1.6631890196284993,1.0133727683685072,1.560504885284662,7.288659939859412,25.891,11.90523460676483,8.215442054868275,47.1586375211296,12
8.60511581029026,8.207155531907555,1.3142789982362986,1.8035422001980026,1.014591002186116,1.583965627407727,7.115282780428316,27.016,11.938373057849137,8.412818721020354,47.53669978559317,13
8.574192331085706,8.223986946793808,1.5592644340443746,1.7046990972138785,1.0091013794763277,1.6042842632826364,7.506868385660613,29.856,11.245906059704065,8.249086712287422,47.86939490067047,14
8.611633132928217,8.157099916824444,1.740721916676425,5.832104174882075,1.0203191996996366,1.5681276463494838,6.991255765673319,27.105,9.717016145309103,7.472825454318528,48.30120145596906,15
8.678500944780636,8.053786749119613,1.89899966044466,4.733577723269073,1.0261086770959487,1.5347182800570827,6.5959794238347005,24.591,7.320770144131666,6.14789884868002,48.89467994184703,16
8.746022256988475,7.948255011224821,2.140621383496783,1.8526755356074247,1.0405563784868104,1.5013259339586258,7.12922844861864,25.411,4.31342655862098,4.215632779125295,49.6525588253225,17
8.812820377177525,7.852997322222851,2.3665929925050713,2.293135447165842,1.0770627105585464,1.469320366779967,7.739151207931728,26.891,1.370531831853104,1.4615110370510647,50.56439072752944,18
7.200833053025163,9.159151780725795,4.482495271178002,2.6111016533547806,1.1745666974012368,1.6543711603990425,4.668212296795409e-10,27.45,-1.4897046370267418e-10,1.4897046370267418e-10,48.70398793621384,19
8.73692493899648,7.842399617411941,3.094745561683396,2.3752698502970033,1.0986977284224149,1.4243817337092382,8.48591946659482,29.435,8.57567109210664e-12,-8.57567109210664e-12,49.55378699171916,20
8.478620865904835,8.010640007465511,3.6090437603060836,2.3395376117971,1.0958386760074619,1.4078871822226326,7.828395067607612,28.09,-3.111600079961926e-11,3.111600079961926e-11,49.99836880723652,21
8.301760690109113,8.10069266433981,4.136366351999396,9.183335406692215,1.0914430801094006,1.3870626430016617,7.071138360582347,25.793,-5.497040147971494e-11,5.497040147971494e-11,50.18938343171736,22
8.317316258493078,8.026067791954546,4.465933502032808,2.145700325324667,1.0735898768449865,1.3473316963645188,5.845468922628856,18.824,-4.1744250226833235e-12,4.1744250226833235e-12,50.466069474928965,23
8.599451671473775,7.711001780064479,4.5110244016405785,1.6919249497486017,1.0417940231303906,1.2992000034471716,4.641489812789738,8.775,-1.4441842086861571e-11,1.4441842086861571e-11,51.31009687176779,24
8.628610374963882,7.634163131122215,5.093197053404928,1.5267277268518624,1.0390134227595558,1.2594718100615343,4.2881086685950525,7.204,-9.867153418157098e-11,9.867153418157098e-11,52.25482175341738,25
8.717914369068284,7.5432547469119315,5.842373614547249,1.5764276764658849,1.0448500343086302,1.263369871604789,4.3499214745217625,9.725,1.9071344738670325e-11,-1.9071344738670325e-11,53.37074839446591,26
9.952260508779107,6.753943432099346,6.626169343937701,1.5504851413337002,1.0397805961491184,1.2538966565933194,4.315122052324597,10.903,3.267474169742533e-11,-3.267474169742533e-11,56.409149617311684,27
